Country,State,Year,Sector,"Number Of Tuberculosis (Tb) Patients With Known Tobacco Usage Status (UOM:Number), Scaling Factor:1","Percentage Of Tuberculosis (Tb) Patients With Known Tobacco Usage Status (UOM:%(Percentage)), Scaling Factor:1","Number Of Tobacco Users Identified Amongst Screened (UOM:Number), Scaling Factor:1","Percentage Of Tobacco Users Identified Amongst Screened (UOM:%(Percentage)), Scaling Factor:1","Number Of Tobacco Users Linked With Tobacco Cessation Centres (UOM:Number), Scaling Factor:1","Percentage Of Tobacco Users Linked With Tobacco Cessation Centres (UOM:%(Percentage)), Scaling Factor:1","Number Of Tuberculosis (Tb) Diabetes Mellitus (Dm) Patients Linked To Diabetic Treatment (UOM:Number), Scaling Factor:1","Number Of Tuberculosis (Tb) Diabetes Comorbid Patients (UOM:Number), Scaling Factor:1","Number Of Tuberculosis (Tb) Patients Notified (UOM:Number), Scaling Factor:1","Number Of Tuberculosis (Tb) Patients With Glucose Know Blood Status (UOM:Number), Scaling Factor:1"
India,Uttarakhand,"Calendar Year (Jan - Dec), 2024",Private,3855,92.8,318,8.2,167,52.5,,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2024",Public,79766,83.9,19003,23.8,6254,32.9,,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2024",Private,5863,69.1,904,15.4,363,40.2,,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2023",Public,495.0,91.0,89.0,18.0,30.0,33.7,,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2023",Private,3.0,75.0,0.0,0.0,,,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Public,63627.0,96.2,9786.0,15.4,2456.0,25.1,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Private,26477.0,98.1,1409.0,5.3,326.0,23.1,,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2023",Public,2256.0,75.0,303.0,13.4,171.0,56.4,,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2023",Private,3.0,50.0,0.0,0.0,,,,,,
India,Assam,"Calendar Year (Jan - Dec), 2023",Public,30134.0,71.7,7929.0,26.3,1497.0,18.9,,,,
India,Assam,"Calendar Year (Jan - Dec), 2023",Private,4074.0,68.8,325.0,8.0,93.0,28.6,,,,
India,Bihar,"Calendar Year (Jan - Dec), 2023",Public,44248.0,54.4,4139.0,9.4,917.0,22.2,,,,
India,Bihar,"Calendar Year (Jan - Dec), 2023",Private,36165.0,42.8,1152.0,3.2,41.0,3.6,,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2023",Public,3508.0,94.3,305.0,8.7,60.0,19.7,,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2023",Private,47.0,73.4,2.0,4.3,0.0,0.0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Public,25332.0,86.0,7986.0,31.5,3595.0,45.0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Private,5815.0,62.7,336.0,5.8,140.0,41.7,,,,
India,Delhi,"Calendar Year (Jan - Dec), 2023",Public,51623.0,66.2,3440.0,6.7,777.0,22.6,,,,
India,Delhi,"Calendar Year (Jan - Dec), 2023",Private,1686.0,16.5,16.0,0.9,5.0,31.3,,,,
India,Goa,"Calendar Year (Jan - Dec), 2023",Public,1553.0,92.6,105.0,6.8,8.0,7.6,,,,
India,Goa,"Calendar Year (Jan - Dec), 2023",Private,27.0,6.8,1.0,3.7,1.0,100.0,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Public,104192.0,95.9,16920.0,16.2,7145.0,42.2,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Private,35780.0,90.6,2365.0,6.6,895.0,37.8,,,,
India,Haryana,"Calendar Year (Jan - Dec), 2023",Public,54848.0,89.5,2572.0,4.7,1044.0,40.6,,,,
India,Haryana,"Calendar Year (Jan - Dec), 2023",Private,14373.0,82.6,486.0,3.4,161.0,33.1,,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Public,15625.0,97.5,1855.0,11.9,1674.0,90.2,,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Private,437.0,93.4,22.0,5.0,18.0,81.8,,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2023",Public,10254.0,90.1,769.0,7.5,438.0,57.0,,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2023",Private,513.0,88.1,24.0,4.7,15.0,62.5,,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Public,36887.0,78.6,4280.0,11.6,1349.0,31.5,,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Private,4611.0,40.1,91.0,2.0,33.0,36.3,,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Public,59878.0,88.9,11159.0,18.6,3326.0,29.8,,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Private,9824.0,83.5,566.0,5.8,168.0,29.7,,,,
India,Kerala,"Calendar Year (Jan - Dec), 2023",Public,17712.0,85.9,2614.0,14.8,1567.0,59.9,,,,
India,Kerala,"Calendar Year (Jan - Dec), 2023",Private,2070.0,71.4,110.0,5.3,64.0,58.2,,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2023",Public,297.0,88.9,7.0,2.4,4.0,57.1,,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2023",Private,9.0,81.8,1.0,11.1,1.0,100.0,,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2023",Public,22.0,100.0,1.0,4.5,1.0,100.0,,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2023",Private,0.0,,0.0,,,,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Public,81505.0,58.3,13625.0,16.7,2697.0,19.8,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Private,20132.0,40.9,974.0,4.8,92.0,9.4,,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Public,128562.0,84.4,11941.0,9.3,4069.0,34.1,,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Private,53968.0,69.8,1409.0,2.6,404.0,28.7,,,,
India,Manipur,"Calendar Year (Jan - Dec), 2023",Public,1709.0,72.1,330.0,19.3,82.0,24.8,,,,
India,Manipur,"Calendar Year (Jan - Dec), 2023",Private,135.0,52.5,12.0,8.9,1.0,8.3,,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Public,3586.0,77.3,1384.0,38.6,254.0,18.4,,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Private,182.0,56.5,60.0,33.0,3.0,5.0,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Public,2042.0,97.9,616.0,30.2,548.0,89.0,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Private,19.0,95.0,5.0,26.3,5.0,100.0,,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2023",Public,3141.0,82.5,591.0,18.8,381.0,64.5,,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2023",Private,357.0,95.7,70.0,19.6,24.0,34.3,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2023",Public,52549.0,94.6,9966.0,19.0,4454.0,44.7,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2023",Private,4025.0,91.6,262.0,6.5,114.0,43.5,,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2023",Public,1480.0,97.0,224.0,15.1,220.0,98.2,,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2023",Private,2.0,100.0,1.0,50.0,1.0,100.0,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Public,40507.0,84.9,1693.0,4.2,278.0,16.4,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Private,7662.0,78.1,85.0,1.1,4.0,4.7,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Public,106155.0,80.6,9100.0,8.6,3141.0,34.5,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Private,28475.0,73.7,1541.0,5.4,572.0,37.1,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Public,947.0,70.8,77.0,8.1,5.0,6.5,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Private,49.0,66.2,2.0,4.1,1.0,50.0,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Public,71409.0,91.2,13718.0,19.2,3231.0,23.6,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Private,12182.0,68.9,958.0,7.9,165.0,17.2,,,,
India,Telangana,"Calendar Year (Jan - Dec), 2023",Public,51000.0,93.5,6533.0,12.8,3455.0,52.9,,,,
India,Telangana,"Calendar Year (Jan - Dec), 2023",Private,16920.0,90.6,754.0,4.5,428.0,56.8,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2023",Public,548.0,64.9,67.0,12.2,38.0,56.7,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2023",Private,57.0,75.0,2.0,3.5,2.0,100.0,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2023",Public,2215.0,68.0,478.0,21.6,44.0,9.2,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2023",Private,31.0,77.5,0.0,0.0,,,,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2023",Public,301001.0,71.8,29311.0,9.7,6824.0,23.3,,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2023",Private,57695.0,49.4,1686.0,2.9,236.0,14.0,,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2023",Public,21611.0,95.1,2492.0,11.5,800.0,32.1,,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2023",Private,4206.0,90.5,185.0,4.4,38.0,20.5,,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2023",Public,80975.0,86.3,18126.0,22.4,6173.0,34.1,,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2023",Private,6168.0,77.1,1100.0,17.8,353.0,32.1,,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Public,439.0,85.0,73.0,17.0,26.0,36.0,,,,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Private,1.0,100.0,0.0,0.0,,,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Public,60037.0,95.0,9480.0,16.0,1713.0,18.0,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Private,23811.0,98.0,1576.0,7.0,308.0,20.0,,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Public,2375.0,83.0,235.0,10.0,90.0,38.0,,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Private,,,,,,,,,,
India,Assam,"Calendar Year (Jan - Dec), 2022",Public,22567.0,67.0,6304.0,28.0,1240.0,20.0,,,,
India,Assam,"Calendar Year (Jan - Dec), 2022",Private,2607.0,63.0,285.0,11.0,105.0,37.0,,,,
